category,Strasbourg FR,Falkenstein DE,London UK
Sat Feb 08 2025,48,2,2
Sat Feb 08 2025,86,2,2
Sat Feb 08 2025,17,2,37
Sat Feb 08 2025,326,1,2
Sat Feb 08 2025,27,7,5
Sat Feb 08 2025,35,17,2
Sat Feb 08 2025,160,12,2
Sat Feb 08 2025,44,12,24
Sat Feb 08 2025,99,2,2
Sat Feb 08 2025,44,8,2
Sat Feb 08 2025,30,2,18
Sat Feb 08 2025,60,15,2
Sat Feb 08 2025,41,7,10
Sat Feb 08 2025,55,5,2
Sat Feb 08 2025,30,2,63
Sat Feb 08 2025,20,6,19
Sat Feb 08 2025,122,2,2
Sat Feb 08 2025,56,2,8
Sat Feb 08 2025,56,2,4
Sat Feb 08 2025,88,4,6
Sat Feb 08 2025,6,93,3
Sat Feb 08 2025,285,2,2
Sat Feb 08 2025,66,2,7
Sat Feb 08 2025,77,13,3
Sat Feb 08 2025,64,36,3
Sat Feb 08 2025,16,6,18
Sat Feb 08 2025,165,2,2
Sat Feb 08 2025,25,15,68
Sat Feb 08 2025,69,2,13
Sat Feb 08 2025,51,2,2
Sat Feb 08 2025,26,1,4
Sat Feb 08 2025,119,1,3
Sat Feb 08 2025,60,7,2
Sat Feb 08 2025,81,2,10
Sat Feb 08 2025,57,1,10
Sat Feb 08 2025,26,1,49
Sat Feb 08 2025,92,9,2
Sat Feb 08 2025,48,3,9
Sat Feb 08 2025,75,6,3
Sat Feb 08 2025,83,5,7
Sat Feb 08 2025,18,6,27
Sat Feb 08 2025,61,2,2
Sat Feb 08 2025,68,2,4
Sat Feb 08 2025,35,2,2
Sat Feb 08 2025,80,2,2
Sat Feb 08 2025,94,7,6
Sat Feb 08 2025,0,9,3
Sat Feb 08 2025,76,7,9
Sat Feb 08 2025,58,2,29
Sat Feb 08 2025,1,13,38
Sat Feb 08 2025,32,1,2
Sat Feb 08 2025,31,2,2
Sat Feb 08 2025,87,6,16
Sat Feb 08 2025,50,2,2
Sat Feb 08 2025,2,15,45
Sat Feb 08 2025,67,2,2
Sat Feb 08 2025,56,9,7